"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","test_login_negative[-emilyspass]","tests.auth","Thu May 14 19:11:42 UTC 2026","passed","Thu May 14 19:11:42 UTC 2026","","test_login_negative","",""
"","428","test_login_negative[emilys-]","tests.auth","Thu May 14 19:11:41 UTC 2026","passed","Thu May 14 19:11:42 UTC 2026","","test_login_negative","",""
"","393","test_login_negative[wrong_user-wrong_pass]","tests.auth","Thu May 14 19:11:40 UTC 2026","passed","Thu May 14 19:11:40 UTC 2026","","test_login_negative","",""
"","168","test_login_response_time","tests.auth","Thu May 14 20:09:58 UTC 2026","passed","Thu May 14 20:09:58 UTC 2026","","test_login_positive","",""
"","375","test_login_negative[-]","tests.auth","Thu May 14 19:11:41 UTC 2026","passed","Thu May 14 19:11:41 UTC 2026","","test_login_negative","",""
"","152","test_login_invalid_password","tests.auth","Thu May 14 20:09:57 UTC 2026","passed","Thu May 14 20:09:58 UTC 2026","","test_login_negative","",""
"","363","test_login_negative[emilys-wrong_pass]","tests.auth","Thu May 14 19:11:40 UTC 2026","passed","Thu May 14 19:11:41 UTC 2026","","test_login_negative","",""
"","164","test_login_empty_credentials","tests.auth","Thu May 14 20:09:58 UTC 2026","passed","Thu May 14 20:09:58 UTC 2026","","test_login_negative","",""
"","159","test_success_login","tests.auth","Thu May 14 20:09:58 UTC 2026","passed","Thu May 14 20:09:58 UTC 2026","","test_login_positive","",""
"","168","test_get_current_user","tests.auth","Thu May 14 20:09:57 UTC 2026","passed","Thu May 14 20:09:57 UTC 2026","","test_auth_me","",""
